company_name,Assignments,email_invalid,phone_invalid,num_matches,num_jumps,max_change,registered_name,is_registered,trustpilot_score,score_category,is_reviewed
101 testing,0,False,False,2.0,5.0,412.0,,False,3.5,3-4,True
1 nhl pharmacy,1,True,False,2.0,1.0,13.636363636363637,,False,,No Score,False
genesis support (t/a fit to fly uk),1,True,False,2.0,2.0,72.72727272727273,,False,,No Score,False
midland covid testing,1,True,False,3.0,1.0,13.42952275249722,,False,,No Score,False
c & h esher limited (t/a central pharmacy),1,False,False,1.0,0.0,0.0,,False,,No Score,False
clear diagnostics,1,False,True,3.0,1.0,21.861924686192477,clearsky medical diagnostics ltd,True,4.7,4-5,True
advisa  medica,1,True,False,3.0,2.0,32.72727272727273,,False,2.5,2-3,True
04 medical testing,0,True,False,7.0,6.0,209.375,4 medical testing limited,True,3.4,3-4,True
me360 healthcare limited t/a me360 testing services,1,False,False,3.0,2.0,20.13422818791946,,False,,No Score,False
leigh broadway pharmacy (elm road),1,False,False,2.0,2.0,64.66431095406361,,False,2.7,2-3,True
covid-19 travel clinic,1,True,True,4.0,3.0,73.67346938775509,,False,3.5,3-4,True
nivha laboratory services ltd.,1,True,False,3.0,1.0,4.878048780487799,c4l laboratory services ltd,True,3.1,3-4,True
south west london covid 19 testing centre,1,False,False,2.0,3.0,18.09523809523809,,False,3.8,3-4,True
avery labs,1,True,False,1.0,0.0,0.0,,False,,No Score,False
4 medical testing,0,True,False,7.0,6.0,209.375,j2 medical testing uk ltd,True,3.4,3-4,True
testngo,1,True,False,1.0,0.0,0.0,,False,,No Score,False
expert medicals,0,True,False,2.0,4.0,400.3573981415297,expert medicolegal limited,True,4.5,4-5,True
tp healthcare services ltd,1,False,False,3.0,1.0,22.857142857142858,tp healthcare ltd,True,,No Score,False
258 postal racoo screening ltd,1,True,False,1.0,1.0,48.48484848484848,,False,,No Score,False
covid testing laboratories ltd,1,True,False,4.0,3.0,41.37931034482759,,False,,No Score,False
nechells pharmacy and masters pharmacy,1,False,False,4.0,1.0,6.666666666666667,,False,3.4,3-4,True
ghosh medical group,1,True,False,3.0,1.0,54.3076923076923,,False,,No Score,False
the wellness people ltd,1,True,False,1.0,1.0,13.636363636363637,the wellness people ltd,True,4.9,4-5,True
first medical consultants,1,True,False,3.0,2.0,7.035175879396985,,False,4.0,3-4,True
ukcovidtest,1,False,False,2.0,3.0,42.69972451790633,,False,,No Score,False
t consultants,1,False,False,3.0,2.0,5.604719764011799,tinworth consultants ab ,True,3.2,3-4,True
sloane street testing,1,True,False,1.0,1.0,39.18367346938776,,False,3.5,3-4,True
harley street dr,0,False,False,5.0,6.0,306.1224489795918,dr q london harley street ltd,True,,No Score,False
cignpost diagnostics,1,True,False,4.0,1.0,27.918781725888326,cignpost diagnostics limited,True,3.9,3-4,True
