company_name,registered_name,is_registered
travel 19,devonways travel (1982) limited,True
travel centre,travelcentre (clapham) limited,True
travel centre clapham,,False
travel centre clapham ltd,,False
travel klinix,,False
travel test centre ltd,,False
treated.com,,False
trio pharmacy,,False
tuli health,pink tulip health and beauty care limited,True
uk covid test centre,,False
uk event medics,uk event medics limited,True
uk event medics limited,uk event medics limited,True
uk event medics ltd,uk event medics limited,True
uk health testing,,False
uk testing arrival centre,,False
ukcovidtest,,False
vaccination uk ltd,vaccination uk limited,True
vanite clinic,,False
visithealth limited,,False
vista pharmacy,,False
vitacheck,vitacheck health limited,True
vitalclinic,,False
vitox,vitox ltd,True
vivo clinic,vivo clinic birmingham limited,True
vsm pharmacy,,False
well pharmacy (bestway national chemists ltd),,False
well pharmacy (bestway national chemists),,False
west midlands,west midlands anaesthesia ltd,True
weston road pharmacy,,False
westwood pharmacy,,False
winchester gp,winchester & weywood inc ,True
woodsetton pharmacy,,False
world travel clinic,,False
worldwide travel health clinic,,False
wren healthcare,wren healthcare education limited,True
"www.covidfittoflytest.co.uk t/a nash travel, tourism and transport services ltd.",,False
xana medtec,,False
xana medtec ltd,,False
yakub chemist,,False
your doctor film and media,,False
your gp circle,,False
your health first,yourhealthfirst clinic ltd,True
your health first ltd,yourhealthfirst clinic ltd,True
your private health,,False
yourhealthfirst clinic,,False
ypchealth,,False
zava,,False
zen healthcare,zen healthcare services ltd,True
zen healthcare (purecare ltd),,False
zoomdoc,zoomdoctor limited,True
zoomdoc health,,False
